"Date","Location","Distributed","Distributed_Janssen","Distributed_Moderna","Distributed_Pfizer","Distributed_Unk_Manuf","Dist_Per_100K","Administered","Administered_Janssen","Administered_Moderna","Administered_Pfizer","Administered_Unk_Manuf","Admin_Per_100K","Recip_Administered","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_Janssen","Series_Complete_Moderna","Series_Complete_Pfizer","Series_Complete_Unk_Manuf","Additional_Doses","Additional_Doses_Vax_Pct","Additional_Doses_Moderna","Additional_Doses_Pfizer","Additional_Doses_Janssen","Additional_Doses_Unk_Manuf"
2020-12-17,"GA",74100,0,0,0,0,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"AL",39000,0,0,0,0,795,193,0,0,193,0,4,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"ND",6825,0,0,0,0,896,897,0,0,897,0,118,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"MO",51675,0,0,0,0,842,2423,0,1,2422,0,39,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"MI",84825,0,0,0,0,849,244,0,0,244,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"IL",109200,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"VA",72150,0,0,0,0,845,271,0,0,271,0,3,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"MD",22425,0,0,0,0,371,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"RI",9750,0,0,0,0,920,112,0,0,112,0,11,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"FL",185250,0,0,0,0,863,2540,0,0,2540,0,12,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"NV",27300,0,0,0,0,886,694,0,0,694,0,23,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"PA",111150,0,0,0,0,868,1681,0,0,1681,0,13,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"CO",46800,0,0,0,0,813,351,0,0,351,0,6,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"KY",28275,0,0,0,0,633,1504,0,2,1502,0,34,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"CT",35100,0,0,0,0,984,2790,0,0,2790,0,78,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"TN",56550,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"TX",224250,0,0,0,0,773,58150,0,14,58136,0,201,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"IN",55575,0,0,0,0,826,686,0,2,684,0,10,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"WA",62400,0,0,0,0,819,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"WV",16575,0,0,0,0,925,10436,0,0,10436,0,582,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"ID",13650,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"OR",36075,0,0,0,0,855,198,0,0,198,0,5,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"HI",4875,0,0,0,0,344,1853,0,0,1853,0,131,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"CA",326625,0,0,0,0,827,273,0,1,272,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"MT",9750,0,0,0,0,912,1131,0,0,1131,0,106,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
